Feature,Importance
PC6_Morgan,0.19296457353110827
PC43_Morgan,0.08919752825962823
PC12_Morgan,0.032892010963699064
PC25_Morgan,0.03027816721543055
PC11_Morgan,0.024904680611233642
PC1_Morgan,0.024335594226324368
PC30_Morgan,0.021531029230335622
NumHAcceptors,0.021393344532609805
PC42_Morgan,0.02128309829665611
PC28_Morgan,0.019986331133756047
PC36_Morgan,0.019476059918626668
BertzCT,0.0192544704120962
PC44_Morgan,0.019127884642214793
PC45_Morgan,0.01829339422935906
PC31_Morgan,0.018095245012576193
PC5_Morgan,0.01721934246251384
PC17_Morgan,0.016051174534522133
PC3_Morgan,0.015992831409129517
FractionCSP3,0.015915427012193784
LogP,0.01450619347430878
