Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Time
Lasso,0.0,-0.6562636300483238,1.6460302094164063,1.4880326067882563,0.005923032760620117
ElasticNet,0.0,-0.6562636300483238,1.6460302094164063,1.4880326067882563,0.0014798641204833984
Ridge,0.00788985249174845,-0.8316056648041703,1.6395238827383996,1.5648175356419634,0.0038521289825439453
LinearRegression,0.008025774358332405,-0.8620915426153517,1.6394115692114166,1.5777864754504005,0.0064067840576171875
SVR,0.1284500763186346,-1.3578625104702655,1.5366817591616129,1.7754438990038477,0.003637075424194336
KNeighbors,-0.029665156500798595,-1.4428982772999315,1.6702666504694956,1.8071758190281322,0.004693031311035156
RandomForest,0.32809381020581174,-2.6080083087747328,1.349249054766484,2.1962485093212027,0.07233500480651855
AdaBoost,0.460973505926769,-5.592880410389836,1.208489433619181,2.968829893072353,0.01989603042602539
GradientBoosting,0.4794168441160528,-9.270311707246346,1.1876346431979172,3.7054378007229003,0.05161786079406738
DecisionTree,0.4799933555399316,-10.520612656240017,1.186976847611067,3.92451056700068,0.0047571659088134766
