Model,CV R-Squared,Train R-Squared,Test R-Squared,Time Taken
KNeighborsRegressor,0.1222044472010172,1.0,0.6086791683504413,0.5926432609558105
LinearRegression,-0.20728515781641127,1.0,0.6020097146250105,0.0913538932800293
ElasticNet,0.053844707847126826,0.9376738194220371,0.597026241687862,0.453794002532959
DecisionTreeRegressor,-0.1286471021430151,0.63855317142543,0.5816288126113445,1.011232852935791
Ridge,0.17162457920180013,0.8583284472111437,0.5391591530106772,5.5975401401519775
SVR,0.16863787457659196,0.914475146016424,0.5185628534860361,0.20241403579711914
RandomForestRegressor,0.008712190086985271,0.4701242336734063,0.5139331940829308,35.19181680679321
GradientBoostingRegressor,0.022193278491518954,0.861347457140221,0.45465506487813,3.416815996170044
AdaBoostRegressor,-0.09127634611463749,0.47709710574915976,0.408097495484265,0.9219608306884766
Lasso,-0.03729920191956164,0.9999903540270686,0.38144529425644735,0.17118310928344727
